facility_id,year,facility_name,facility_city,province,latitude,longitude,naics_code_6digit,naics_code_3digit,company_legal_name,company_trade_name,total_emissions_co2e,intensity_co2e_per_m_gdp,baseline_intensity_2015,carbon_price_nominal,carbon_price_real_2015,delta_price_real_2015,exposure_price_it,first_year,last_year,years_active,obs_count,is_continuous,is_entrant,is_exiter,province_code,green_patent_count,unique_patents,green_patent_stock,green_domains,green_patent_intensity,green_patents_per_tco2e
G10001,2022,Division Alma,Alma,Quebec,48.565,-71.65556,322111,322,Produits Forestiers Résolu,Resolute FP Canada Inc.,39077.23334,280.5099222917005,78.85820972463218,50.0,41.86507936507937,41.86507936507937,3301.4052087098,2004,2023,20,19,False,False,False,Q1,0.0,0.0,0.0,No green patents,0.0,0.0
G10001,2023,Division Alma,Alma,Quebec,48.565,-71.65556,322111,322,Produits Forestiers Résolu,Resolute FP Canada Inc.,52135.281,249.24707847680537,78.85820972463218,65.0,52.38064926798218,52.38064926798218,4130.64422548694,2004,2023,20,19,False,False,False,Q1,0.0,0.0,0.0,No green patents,0.0,0.0
G10002,2004,Aciérie - Complexe de Contrecoeur,CONTRECOEUR,Quebec,,,331110,331,Mittal Canada Inc.,Mittal Canada Inc.,149659.1938,530.2829376649908,437.2906343770175,0.0,0.0,0.0,0.0,2004,2017,14,14,True,False,True,Q1,1.7,4.0,3.819315625,Hydrogen: Electrolytic processes,2.552008685884021e-05,1.1359141772952674e-05
G10002,2005,Aciérie - Complexe de Contrecoeur,CONTRECOEUR,Quebec,,,331110,331,Mittal Canada Inc.,Mittal Canada Inc.,153389.6547,491.1602878388919,437.2906343770175,0.0,0.0,0.0,0.0,2004,2017,14,14,True,False,True,Q1,1.0833333333333333,3.0,4.329751614583333,"Hydrogen: Electrolytic processes, Waste-to-agri: Organic fertilisers from waste",2.822714232619843e-05,7.0626231961478765e-06
G10002,2006,Aciérie - Complexe de Contrecoeur,CONTRECOEUR,Quebec,,,331110,331,Mittal Canada Inc.,Mittal Canada Inc.,158377.967,447.6345841068271,437.2906343770175,0.0,0.0,0.0,0.0,2004,2017,14,14,True,False,True,Q1,1.1666666666666663,4.0,4.846955539062499,"Hydrogen: Electrolytic processes, Water: Oxidation/advanced processes",3.0603723679964266e-05,7.366344503378215e-06
G10002,2007,Aciérie - ArcelorMittal Contrecoeur,CONTRECOEUR,Quebec,,,331110,331,Mittal Canada Inc.,Mittal Canada Inc.,171466.4304,401.9450281618805,437.2906343770175,0.0,0.0,0.0,0.0,2004,2017,14,14,True,False,True,Q1,2.6666666666666665,7.0,6.786578874869791,"Hydrogen: Electrolytic processes, Transport: Hybrid propulsion, Storage: Electrodes for batteries/fuel cells",3.957963584497523e-05,1.5552120962953612e-05
G10002,2008,Aciérie - ArcelorMittal Contrecoeur,CONTRECOEUR,Quebec,,,331110,331,Arcelormittal Montréal Inc.,ArcelorMittal Montréal Inc.,138020.7827,407.4129655011914,437.2906343770175,0.0,0.0,0.0,0.0,2004,2017,14,14,True,False,True,Q1,1.625,4.0,7.393592043639322,Hydrogen: Electrolytic processes,5.356868653404124e-05,1.1773589224834904e-05
G10002,2009,Aciérie - ArcelorMittal Contrecoeur,CONTRECOEUR,Quebec,,,331110,331,Arcelormittal Montréal Inc.,ArcelorMittal Montréal Inc.,109627.4762,504.06732227547394,437.2906343770175,0.0,0.0,0.0,0.0,2004,2017,14,14,True,False,True,Q1,1.0,2.0,7.284553237093424,Hydrogen: Electrolytic processes,6.644824353890784e-05,9.12180079905917e-06
G10002,2010,Aciérie - ArcelorMittal Contrecoeur,CONTRECOEUR,Quebec,,,331110,331,Arcelormittal Montréal Inc.,ArcelorMittal Montréal Inc.,149449.9335,480.9562361548828,437.2906343770175,0.0,0.0,0.0,0.0,2004,2017,14,14,True,False,True,Q1,1.5,3.0,7.69187025152941,Hydrogen: Electrolytic processes,5.1467873363285304e-05,1.0036806071914376e-05
G10002,2011,Aciérie - ArcelorMittal Contrecoeur,CONTRECOEUR,Quebec,45.838,-73.2475,331110,331,Arcelormittal Montréal Inc.,ArcelorMittal Montréal Inc.,146192.9945,429.8301455025072,437.2906343770175,0.0,0.0,0.0,0.0,2004,2017,14,14,True,False,True,Q1,1.0333333333333332,3.0,7.571423047133332,"Hydrogen: Electrolytic processes, Water: Oxidation/advanced processes, Power: Conversion for renewables/storage",5.179060099992228e-05,7.068282149000876e-06
