company_id_raw,company_id,year,company_name,company_trade_name,province,num_provinces,multi_province_dummy,naics_code_3digit,num_facilities,total_emissions_co2e,intensity_co2e_per_m_gdp,carbon_price_real_2015,exposure_price_it,green_patent_count,unique_patents,green_patent_stock,green_patent_intensity
1974568 ONTARIO LIMITED O/A APHRIA DIAMOND,1974568 ONTARIO LIMITED O/A APHRIA DIAMOND,2023,1974568 Ontario Limited O/A Aphria Diamond,,Ontario,1,0,111,1,22507.75,136.84909339861147,,,0.0,0.0,0.0,0.0
2333281 ONTARIO LTD,2333281 ONTARIO LTD,2017,2333281 Ontario Ltd,Truly Green Farms,Ontario,1,0,111,1,16158.35,60.0637051499764,,,0.0,0.0,0.0,0.0
2333281 ONTARIO LTD,2333281 ONTARIO LTD,2018,2333281 Ontario Ltd,Truly Green Farms,Ontario,1,0,111,1,14339.3,56.93276161547089,,,0.0,0.0,0.0,0.0
2333281 ONTARIO LTD,2333281 ONTARIO LTD,2019,2333281 Ontario Ltd.,Truly Green Farms,Ontario,1,0,111,1,30718.19,69.76083837288283,,,0.0,0.0,0.0,0.0
2333281 ONTARIO LTD,2333281 ONTARIO LTD,2020,2333281 Ontario Ltd.,Truly Green Farms,Ontario,1,0,111,1,29834.4,70.62269731215788,,,0.0,0.0,0.0,0.0
2333281 ONTARIO LTD,2333281 ONTARIO LTD,2021,2333281 Ontario Ltd.,Truly Green Farms,Ontario,1,0,111,1,29728.2665,71.10554274043585,,,0.0,0.0,0.0,0.0
2333281 ONTARIO LTD,2333281 ONTARIO LTD,2022,2333281 Ontario Ltd.,Truly Green Farms,Ontario,1,0,111,1,32725.5437,141.16147000858854,,,0.0,0.0,0.0,0.0
2333281 ONTARIO LTD,2333281 ONTARIO LTD,2023,2333281 Ontario Ltd.,Truly Green Farms,Ontario,1,0,111,1,28212.6807,136.84909339861147,,,0.0,0.0,0.0,0.0
2492309 ONTARIO LTD,2492309 ONTARIO LTD,2020,2492309 Ontario Ltd,,Ontario,1,0,111,1,15683.99,70.62269731215787,,,0.0,0.0,0.0,0.0
2492309 ONTARIO LTD,2492309 ONTARIO LTD,2021,2492309 Ontario Ltd,,Ontario,1,0,111,1,25094.36302,71.10554274043585,,,0.0,0.0,0.0,0.0
2492309 ONTARIO LTD,2492309 ONTARIO LTD,2022,2492309 Ontario Ltd,,Ontario,1,0,111,1,24464.69,141.16147000858854,,,0.0,0.0,0.0,0.0
2492309 ONTARIO LTD,2492309 ONTARIO LTD,2023,2492309 Ontario Ltd,,Ontario,1,0,111,1,23541.12,136.84909339861147,,,0.0,0.0,0.0,0.0
3313045 NOVA SCOTIA COMPANY,3313045 NOVA SCOTIA COMPANY,2018,3313045 Nova Scotia Company,,Quebec,1,0,326,1,332440.6578,43.08906975522621,0.0,0.0,0.0,0.0,0.0,0.0
3313045 NOVA SCOTIA COMPANY,3313045 NOVA SCOTIA COMPANY,2019,3313045 Nova Scotia Company,,Quebec,1,0,326,1,297928.1801,42.5210580430516,18.61764705882353,803.6206194706341,0.0,0.0,0.0,0.0
3313045 NOVA SCOTIA COMPANY,3313045 NOVA SCOTIA COMPANY,2020,3313045 Nova Scotia Company,,Quebec,1,0,326,1,246585.7326,38.952973780091966,27.72262773722628,1196.6321632993383,0.0,0.0,0.0,0.0
3313045 NOVA SCOTIA COMPANY,3313045 NOVA SCOTIA COMPANY,2021,3313045 Nova Scotia Company,,Quebec,1,0,326,1,197294.4307,31.16966081482052,35.76271186440678,1543.6780261017832,0.0,0.0,0.0,0.0
3313045 NOVA SCOTIA COMPANY,3313045 NOVA SCOTIA COMPANY,2022,3313045 Nova Scotia Company,,Quebec,1,0,326,1,199137.4118,66.11477909777227,41.86507936507937,1807.083403571532,0.0,0.0,0.0,0.0
3313045 NOVA SCOTIA COMPANY,3313045 NOVA SCOTIA COMPANY,2023,3313045 Nova Scotia Company,,Quebec,1,0,326,1,16833.44204,16.703846016582176,52.38064926798218,2260.982264837812,0.0,0.0,0.0,0.0
3M CANADA CO,3M CANADA CO,2017,3M Canada Co.,3M Canada Company,Ontario,1,0,322,1,13384.15,94.35258505222852,0.0,0.0,0.0,0.0,0.0,0.0
3M CANADA COMPANY,3M CANADA COMPANY,2018,3M Canada Company,3M Canada Company,Ontario,1,0,322,2,24988.195050000002,88.76564342684792,0.0,0.0,0.0,0.0,0.0,0.0
3M CANADA COMPANY,3M CANADA COMPANY,2019,3M Canada Company,3M Canada Company,Ontario,1,0,322,3,32125.692,104.71341864098994,18.61764705882353,1382.7557093276073,0.0,0.0,0.0,0.0
3M CANADA COMPANY,3M CANADA COMPANY,2020,3M Canada Company,3M Canada Company,Ontario,1,0,322,3,32465.417999999998,124.19844659186585,27.72262773722628,2058.9939029403786,0.0,0.0,0.0,0.0
3M CANADA COMPANY,3M CANADA COMPANY,2021,3M Canada Company,3M Canada Company,Ontario,1,0,322,3,34552.734,111.28312245489606,35.76271186440678,2656.1409105728053,0.0,0.0,0.0,0.0
3M CANADA COMPANY,3M CANADA COMPANY,2022,3M Canada Company,3M Canada Company,Ontario,1,0,322,3,33801.633,269.96027471532483,41.86507936507937,3109.371304043562,0.0,0.0,0.0,0.0
3M CANADA COMPANY,3M CANADA COMPANY,2023,3M Canada Company,3M Canada Company,Ontario,1,0,322,3,31633.135000000002,278.3148663744506,52.38064926798218,3890.37570670148,0.0,0.0,0.0,0.0
543077 ALBERTA LTD,543077 ALBERTA LTD,2017,543077 Alberta Ltd.,,Alberta,1,0,212,1,19624.7122,121.62751076835443,0.0,0.0,0.0,0.0,0.0,0.0
543077 ALBERTA LTD,543077 ALBERTA LTD,2018,543077 Alberta Ltd.,,Alberta,1,0,212,1,24639.2169,110.32231779749019,0.0,0.0,0.0,0.0,0.0,0.0
543077 ALBERTA LTD,543077 ALBERTA LTD,2019,543077 Alberta Ltd.,,Alberta,1,0,212,1,18889.19,132.4192191011345,18.61764705882353,1630.1188692502856,0.0,0.0,0.0,0.0
543077 ALBERTA LTD,543077 ALBERTA LTD,2020,543077 Alberta Ltd.,,Alberta,1,0,212,1,5302.94,117.54226318245159,27.72262773722628,2427.330287058819,0.0,0.0,0.0,0.0
543077 ALBERTA LTD,543077 ALBERTA LTD,2021,543077 Alberta Ltd.,,Alberta,1,0,212,1,10918.82,73.47393494618555,35.76271186440678,3131.301782740662,0.0,0.0,0.0,0.0
543077 ALBERTA LTD,543077 ALBERTA LTD,2022,543077 Alberta Ltd.,,Alberta,1,0,212,1,17384.1077,338.96802777506707,41.86507936507937,3665.6112139226,0.0,0.0,0.0,0.0
543077 ALBERTA LTD,543077 ALBERTA LTD,2023,543077 Alberta Ltd.,,Alberta,1,0,212,1,20410.6632,351.6366206035636,52.38064926798218,4586.330618769104,0.0,0.0,0.0,0.0
617885 ONTARIO LIMITED,617885 ONTARIO LIMITED,2017,617885 Ontario Limited,JEM Farms,Ontario,1,0,111,1,10283.41,60.0637051499764,,,0.0,0.0,0.0,0.0
617885 ONTARIO LIMITED,617885 ONTARIO LIMITED,2019,617885 Ontario Limited,JEM Farms,Ontario,1,0,111,1,9396.95,69.76083837288283,,,0.0,0.0,0.0,0.0
617885 ONTARIO LIMITED,617885 ONTARIO LIMITED,2020,617885 Ontario Limited,JEM Farms,Ontario,1,0,111,1,10617.24,70.62269731215787,,,0.0,0.0,0.0,0.0
617885 ONTARIO LIMITED,617885 ONTARIO LIMITED,2021,617885 Ontario Limited,JEM Farms,Ontario,1,0,111,1,9932.523,71.10554274043585,,,0.0,0.0,0.0,0.0
617885 ONTARIO LIMITED,617885 ONTARIO LIMITED,2022,617885 Ontario Limited,JEM Farms,Ontario,1,0,111,1,10184.41,141.16147000858854,,,0.0,0.0,0.0,0.0
617885 ONTARIO LIMITED,617885 ONTARIO LIMITED,2023,617885 Ontario Limited,JEM Farms,Ontario,1,0,111,1,10016.25,136.84909339861147,,,0.0,0.0,0.0,0.0
8439117 CANADA INC / RSI ENVIRONMENTAL,8439117 CANADA INC / RSI ENVIRONMENTAL,2019,8439117 Canada Inc. / Rsi Environmental,RSI Environmental,Quebec,1,0,562,1,15537.575,634.1680754807446,18.61764705882353,11512.823759865998,1.5,3.0,10.763733754303637,0.0006927550634062031
