"Implicit price indexes, gross domestic product, provincial and territorial"
"Frequency: Annual"
"Table: 36-10-0223-01 (formerly CANSIM 384-0039)"
"Release date: 2025-11-06"
"Geography: Canada, Province or territory"
""
""

"Geography","Canada 1",,,,,,,,,,,,,,,,,,,,,,
"Index","Implicit price indexes",,,,,,,,,,,,,,,,,,,,,,
"Estimates","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Imports of goods from other provinces","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Imports of services from other provinces","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Statistical discrepancy","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Gross domestic product at market prices","74.0","76.4","78.9","81.4","83.5","86.2","89.7","87.6","90.1","93.0","94.1","95.8","97.6","96.8","97.5","100.0","101.7","103.2","104.3","112.5","121.3","123.2","126.6"
"Final domestic demand","76.6","77.8","79.2","80.8","82.7","84.7","86.8","87.8","88.7","90.8","92.3","93.9","96.1","97.6","98.6","100.0","101.6","103.5","105.4","109.4","116.4","120.8","124.8"

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"Canada totals in the provincial and territorial gross domestic product by income and by expenditure accounts (PTEA) do not correspond to the national gross domestic product by income and by expenditure accounts (IEA) estimates at certain times of the year. The two accounts are brought back in line when annual revisions are incorporated."



"How to cite: Statistics Canada. Table 36-10-0223-01  Implicit price indexes, gross domestic product, provincial and territorial"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610022301
