Sample,Sample_Description,Outcome,Treatment_Type,N_Obs,N_Firms,Coefficient,SE_Clustered,P_Value_Clustered,P_Value_Bootstrap,CI_Lower_95,CI_Upper_95
66_strict,66 firms (excluding post-2016 GHGRP entrants),green_patent_stock,Continuous (2018 Intensity),935,66,18.039569172803215,17.911672230048932,0.31386729742922626,0.5575575575575575,-86.30363532886864,40.58404595377419
66_strict,66 firms (excluding post-2016 GHGRP entrants),intensity_co2e_per_m_gdp,Continuous (2018 Intensity),935,66,-391.72583453297625,100.41697144835,9.579918996910208e-05,0.6486486486486487,-76.52671769603404,565.0132610254094
66_strict,66 firms (excluding post-2016 GHGRP entrants),ln_emissions,Continuous (2018 Intensity),935,66,-0.21811399371824228,0.1231075119593293,0.07643841383550429,0.5235235235235235,-0.20365350684397038,0.7992802131034163
101_full,101 firms (all multi-province),green_patent_stock,Continuous (2018 Intensity),1158,101,16.767747780604875,16.26725125834146,0.3026500391331103,0.5455455455455456,-74.41202992722016,33.478020511027765
101_full,101 firms (all multi-province),intensity_co2e_per_m_gdp,Continuous (2018 Intensity),1158,101,-351.2046971598514,90.24395289640123,9.95337995031762e-05,0.6376376376376376,-71.74678577612752,528.5009057298619
101_full,101 firms (all multi-province),ln_emissions,Continuous (2018 Intensity),1158,101,-0.19013694765166483,0.11095701072032751,0.08660053391569875,0.5255255255255256,-0.18533983501813822,0.7500183468191752
