outcome,coef,perm_p,B,n_cells,n_alberta_cells,placebo_sd
green_patent_stock,19.906415181775174,0.2673663168415792,2000,104,45,17.460085303463295
intensity_co2e_per_m_gdp,-181.35695508221852,0.16391804097951024,2000,104,45,124.59037830050086
ln_E,0.05346731669997773,0.7446276861569215,2000,104,45,0.1614057964680219
ln_I,-0.34618617484409286,0.07796101949025487,2000,104,45,0.1978914529447273
ln_Y,0.3999236689203356,0.005997001499250375,2000,104,45,0.1587484008853713
ln_pat,-0.11187232831240301,0.5427286356821589,2000,104,45,0.18305758364038108
