effect_log,effect_pct,power
-0.5,-39.346934028736655,0.8659655614199266
-0.45,-36.23718483782267,0.788368235539409
-0.4,-32.967995396436066,0.6893552951495414
-0.35000000000000003,-29.531191028128656,0.5742775978174955
-0.30000000000000004,-25.91817793182821,0.4524502407723734
-0.25000000000000006,-22.119921692859513,0.33497317037904295
-0.20000000000000007,-18.12692469220182,0.23178832707530134
-0.15000000000000008,-13.92920235749423,0.14923533158065022
-0.10000000000000009,-9.51625819640405,0.08907596961236863
-0.0500000000000001,-4.87705754992861,0.049143504656407364
-1.1102230246251565e-16,-1.1102230246251565e-14,0.025000000000000036
0.04999999999999982,5.1271096376023895,0.049143504656407204
0.09999999999999987,10.51709180756475,0.08907596961236847
0.1499999999999999,16.183424272828304,0.14923533158065
0.19999999999999984,22.140275816016963,0.2317883270753009
0.24999999999999978,28.402541668774116,0.33497317037904234
0.2999999999999998,34.9858807576003,0.45245024077237284
0.34999999999999987,41.906754859325716,0.5742775978174952
0.3999999999999998,49.18246976412701,0.6893552951495409
0.44999999999999973,56.831218549016846,0.7883682355394086
0.4999999999999998,64.87212707001278,0.8659655614199263
