coef,se,p,ci_lo,ci_hi,N,firms,outcome,window,sig
19.906415181774996,15.545394880344837,0.2003572029957681,-10.561998909154227,50.37482927270422,935,66,green_patent_stock,Full 2004-2023,
22.804149417932507,15.994771809407245,0.1539476762275279,-8.545027269442247,54.15332610530726,884,66,green_patent_stock,Exclude 2023 (patent truncation),
24.735565383807785,13.583560229620328,0.06860795126075417,-1.8877234480786846,51.35885421569425,722,66,green_patent_stock,Pre-COVID: 2004-2019,*
14.986944945081525,13.949012225109259,0.28263938901416286,-12.352616636041542,42.3265065262046,824,66,green_patent_stock,Exclude 2020-2021 (pandemic years),
13.807469465705974,15.641482353079034,0.3773730565069614,-16.84927261114775,44.464211542559696,760,51,green_patent_stock,Balanced-ish: firms observed 2016-2023,
-181.35695508221787,120.71935879571544,0.13301908763430131,-417.9625505585887,55.24864039415297,935,66,intensity_co2e_per_m_gdp,Full 2004-2023,
-192.7029568618343,119.936370120514,0.10811801426065301,-427.7739227345076,42.36800901083899,884,66,intensity_co2e_per_m_gdp,Exclude 2023 (patent truncation),
-202.4330168503709,105.55533652327445,0.05513758656196883,-409.31767481199415,4.451641111252371,722,66,intensity_co2e_per_m_gdp,Pre-COVID: 2004-2019,*
-124.71806640272844,121.71071972563084,0.3055005287199901,-363.2666935974136,113.83056079195673,824,66,intensity_co2e_per_m_gdp,Exclude 2020-2021 (pandemic years),
-198.84625381302834,130.68568404015676,0.12811908955000667,-454.9854878267165,57.29298020065983,760,51,intensity_co2e_per_m_gdp,Balanced-ish: firms observed 2016-2023,
0.05346731669996779,0.16266986479462509,0.7423929930640344,-0.2653597596674975,0.37229439306743306,935,66,ln_E,Full 2004-2023,
0.023315620456663022,0.15493565978274418,0.8803813340485108,-0.28035269263846646,0.3269839335517925,884,66,ln_E,Exclude 2023 (patent truncation),
-0.07463601936924374,0.12830968871729065,0.5607778369192977,-0.32611838812267874,0.17684634938419125,722,66,ln_E,Pre-COVID: 2004-2019,
0.0928387591235868,0.1740168524547809,0.5936844554394798,-0.24822800439080428,0.4339055226379779,824,66,ln_E,Exclude 2020-2021 (pandemic years),
0.11068817752433763,0.17032565684204778,0.5157813450537097,-0.22314397552920429,0.44452033057787954,760,51,ln_E,Balanced-ish: firms observed 2016-2023,
-0.34618617484409253,0.19653181306208942,0.07815778308049273,-0.7313814502621463,0.039009100573961286,934,66,ln_I,Full 2004-2023,*
-0.3870937305508322,0.1872827131203381,0.03874403529527005,-0.7541611031936419,-0.020026357908022485,883,66,ln_I,Exclude 2023 (patent truncation),**
-0.43745577746308617,0.19912992553575093,0.028032165154461743,-0.8277432597573009,-0.0471682951688715,721,66,ln_I,Pre-COVID: 2004-2019,**
-0.30647837506651615,0.2164499963397864,0.1567955515850557,-0.730712572346324,0.11775582221329173,823,66,ln_I,Exclude 2020-2021 (pandemic years),
-0.30834730724653264,0.2007419263382958,0.12452896278861296,-0.7017942530567849,0.0850996385637196,759,51,ln_I,Balanced-ish: firms observed 2016-2023,
0.3999236689203427,0.1601377822231428,0.012511750379453995,0.0860593831988643,0.7137879546418211,934,66,ln_Y,Full 2004-2023,**
0.41076046979067626,0.15849198196982076,0.009550861628841502,0.10012189329145599,0.7213990462898965,883,66,ln_Y,Exclude 2023 (patent truncation),***
0.3634128190962078,0.14694680317942582,0.013395002324206255,0.07540237722123733,0.6514232609711783,721,66,ln_Y,Pre-COVID: 2004-2019,**
0.3996933812671498,0.17062656935499673,0.019154840672690764,0.06527145052573052,0.734115312008569,823,66,ln_Y,Exclude 2020-2021 (pandemic years),**
0.4195939304189701,0.17108872635106026,0.014187007824697062,0.08426618861006308,0.7549216722278771,759,51,ln_Y,Balanced-ish: firms observed 2016-2023,**
