outcome,k,year,coef,se,p,ci_lo,ci_hi
green_patent_stock,-7,<=2012,-37.10727752546873,23.18709847333234,0.10952283011303612,-82.5531554391838,8.338600388246327
green_patent_stock,-6,2013,-13.922551548293828,12.999611981302925,0.2841705670463185,-39.401322844642934,11.55621974805528
green_patent_stock,-5,2014,-7.444508230163276,11.769853371147606,0.527055991922444,-30.512996940929927,15.623980480603375
green_patent_stock,-4,2015,-1.574302904107797,11.522216176600175,0.8913217181622846,-24.15743163232894,21.008825824113348
green_patent_stock,-3,2016,-2.9545569366970543,10.00255259325455,0.7677033843635606,-22.559199772943693,16.65008589954958
green_patent_stock,-2,2017,4.487246886820799,8.034764684966465,0.5765173796024314,-11.260602519967787,20.235096293609384
green_patent_stock,0,2019,14.814533610643199,11.9218999251323,0.21400349510342198,-8.551960869906875,38.18102809119327
green_patent_stock,1,2020,14.956147226231707,14.477443851841198,0.3015732648182492,-13.419121311577875,43.33141576404129
green_patent_stock,2,2021,14.327314152844362,15.649499339168322,0.3599225799727449,-16.345140928008924,44.99976923369765
green_patent_stock,3,2022,4.930375438524862,14.894536497541623,0.7406300902188542,-24.26237966307408,34.1231305401238
green_patent_stock,4,2023,-1.2405147530256322,13.502242821950903,0.9267975785186825,-27.704424394563866,25.2233948885126
intensity_co2e_per_m_gdp,-7,<=2012,387.45318585619714,159.9032325683565,0.015390898751549769,74.04860901068622,700.857762701708
intensity_co2e_per_m_gdp,-6,2013,107.72603661486411,100.26590038737146,0.28264186418873594,-88.79151702186459,304.2435902515928
intensity_co2e_per_m_gdp,-5,2014,164.58849255639745,116.13029493180183,0.1564027206093976,-63.02270302394851,392.1996881367434
intensity_co2e_per_m_gdp,-4,2015,108.94041009702497,89.0205414185755,0.2210400975456288,-65.5366449676392,283.41746516168917
intensity_co2e_per_m_gdp,-3,2016,85.91707185623628,60.61618115338286,0.15636747482731805,-32.888460084749724,204.7226037972223
intensity_co2e_per_m_gdp,-2,2017,17.61836634438653,53.49282214118372,0.741884015597324,-87.22563848374034,122.4623711725134
intensity_co2e_per_m_gdp,0,2019,-101.44538277210339,86.17122831857934,0.23909432845251777,-270.3378867800969,67.44712123589011
intensity_co2e_per_m_gdp,1,2020,-59.73927271261683,110.19207091610126,0.5877236690694367,-275.71176309005887,156.2332176648252
intensity_co2e_per_m_gdp,2,2021,-186.23450405747215,127.19179944925537,0.14313872760029595,-435.52585010685414,63.05684199190986
intensity_co2e_per_m_gdp,3,2022,71.15890814889813,138.81735412886766,0.6082254457013836,-200.91810637282504,343.23592267062133
intensity_co2e_per_m_gdp,4,2023,3.1657489997379553,136.27401027335722,0.9814662012804753,-263.92640316488354,270.25790116435945
ln_E,-7,<=2012,0.36915297419427695,0.17913544510840113,0.03932710693074338,0.018053953427258962,0.7202519949612949
ln_E,-6,2013,0.28053536308066274,0.21309607587580165,0.1880151258556605,-0.13712527088272314,0.6981959970440486
ln_E,-5,2014,0.1568807011120607,0.1458005072154354,0.28192923382297774,-0.12888304195786493,0.44264444418198634
ln_E,-4,2015,0.29389218119838145,0.1788125830469645,0.10026368623261657,-0.05657404155624646,0.6443584039530094
ln_E,-3,2016,0.17025228799778186,0.17430039274003253,0.32868049323175363,-0.17137020426386862,0.5118747802594323
ln_E,-2,2017,0.10010048410822345,0.13625878213057593,0.46256175506801245,-0.1669618214449953,0.3671627896614422
ln_E,0,2019,0.07772218963447136,0.1601641580909694,0.6274878061149534,-0.23619379183800815,0.39163817110695087
ln_E,1,2020,0.12379841156589062,0.1918772195709438,0.5188001881304314,-0.25227402824684325,0.49987085137862447
ln_E,2,2021,0.22672433198480063,0.19084696624162414,0.23483725750008966,-0.1473288484075142,0.6007775123771155
ln_E,3,2022,0.28137643208557495,0.2494438485005167,0.2593135347013147,-0.20752452714050335,0.7702773913116532
ln_E,4,2023,0.3696141711811399,0.2443702067829276,0.13040230892070237,-0.10934263300800379,0.8485709753702837
ln_I,-7,<=2012,-0.384863085049097,0.30009665252438317,0.19968000559831323,-0.973041715877919,0.20331554577972505
ln_I,-6,2013,-0.5174697243038946,0.2656452253079003,0.05141819489918855,-1.0381247985724071,0.003185349964618056
ln_I,-5,2014,-0.5654497395727586,0.27371747709907385,0.038845927176609465,-1.1019261366261104,-0.028973342519406753
ln_I,-4,2015,-0.6136091964756426,0.24454089227719417,0.012099487950338177,-1.0929005380862322,-0.134317854865053
ln_I,-3,2016,-0.7210489720075681,0.30315478910536703,0.017383966981509145,-1.315221440394923,-0.1268765036202132
