coef,se,p,ci_lo,ci_hi,N,firms,outcome,spec,sig
19.906415181774996,15.545394880344837,0.2003572029957681,-10.561998909154227,50.37482927270422,935,66,green_patent_stock,Baseline,
19.906415181775156,15.554558096513587,0.20062245587037597,-10.579958482827372,50.392788846377684,935,66,green_patent_stock,+ ln WTI,
24.37237309704287,16.933978347872888,0.1500772824856621,-8.817614579769074,57.56236077385482,935,66,green_patent_stock,+ Alberta x ln WTI,
22.755009694855296,16.834931213959916,0.1764858828591609,-10.240849166715307,55.7508685564259,869,66,green_patent_stock,+ Alberta x ln WTI + Alberta x ln WTI(t-1),
-10.913295089936152,13.355376966389441,0.4138449026567055,-37.08935294401526,15.262762764142956,935,66,green_patent_stock,+ Alberta x ln WTI + NAICS x year FE,
-181.35695508221787,120.71935879571544,0.13301908763430131,-417.9625505585887,55.24864039415297,935,66,intensity_co2e_per_m_gdp,Baseline,
-181.3569550822151,120.79051669095824,0.13324769705359998,-418.10201747047756,55.38810730604732,935,66,intensity_co2e_per_m_gdp,+ ln WTI,
-239.75983665857092,135.00968497714217,0.07575411785642294,-504.373956777868,24.85428346072615,935,66,intensity_co2e_per_m_gdp,+ Alberta x ln WTI,*
-235.25691186038827,135.51762534510425,0.08256603406026759,-500.86657680718497,30.352753086408455,869,66,intensity_co2e_per_m_gdp,+ Alberta x ln WTI + Alberta x ln WTI(t-1),*
-436.46975031867447,281.24652376509067,0.12068337044502327,-987.7028076753406,114.76330703799164,935,66,intensity_co2e_per_m_gdp,+ Alberta x ln WTI + NAICS x year FE,
0.05346731669996779,0.16266986479462509,0.7423929930640344,-0.2653597596674975,0.37229439306743306,935,66,ln_E,Baseline,
0.05346731669996435,0.1627657503701757,0.7425393677640717,-0.265547691942217,0.3724823253421457,935,66,ln_E,+ ln WTI,
-0.04412922453498147,0.15433234841943502,0.7749268913822671,-0.34661506908656126,0.2583566200165983,935,66,ln_E,+ Alberta x ln WTI,
-0.008599063725050754,0.1503539708281711,0.9543921478895959,-0.303287431480852,0.2860893040307505,869,66,ln_E,+ Alberta x ln WTI + Alberta x ln WTI(t-1),
-0.29197478979487446,0.2638050018997809,0.2683879265129957,-0.8090230924599655,0.2250735128702166,935,66,ln_E,+ Alberta x ln WTI + NAICS x year FE,
-0.34618617484409253,0.19653181306208942,0.07815778308049273,-0.7313814502621463,0.039009100573961286,934,66,ln_I,Baseline,*
-0.34618617484409653,0.19664779525752696,0.07833363704793896,-0.7316087711880558,0.03923642149986273,934,66,ln_I,+ ln WTI,*
-0.14868554438097195,0.18254189742409915,0.41534235728135693,-0.5064610890018112,0.20909000023986726,934,66,ln_I,+ Alberta x ln WTI,
-0.07927468549850093,0.18027140291454824,0.6601168343683492,-0.4326001426535244,0.2740507716565226,869,66,ln_I,+ Alberta x ln WTI + Alberta x ln WTI(t-1),
-0.13951696382563467,0.24527160627960795,0.5694739595553486,-0.6202404785639544,0.3412065509126851,934,66,ln_I,+ Alberta x ln WTI + NAICS x year FE,
0.3999236689203427,0.1601377822231428,0.012511750379453995,0.0860593831988643,0.7137879546418211,934,66,ln_Y,Baseline,**
0.3999236689203394,0.16023228667646944,0.012563822545973477,0.08587415787396219,0.7139731799667166,934,66,ln_Y,+ ln WTI,**
0.104623944992044,0.11701651090385791,0.3712707548810529,-0.12472420197605602,0.333972091960144,934,66,ln_Y,+ Alberta x ln WTI,
0.07067562177345053,0.12220034729342714,0.5630220387118537,-0.16883265781995332,0.3101839013668544,869,66,ln_Y,+ Alberta x ln WTI + Alberta x ln WTI(t-1),
-0.1521825944870887,0.17950858233829822,0.396564200469917,-0.5040129507859961,0.19964776181181865,934,66,ln_Y,+ Alberta x ln WTI + NAICS x year FE,
