group,firms_2018,firm_years,mean_emissions_kt,median_emissions_kt,share_ghgrp_emissions_2018,mean_facilities,mean_patent_stock,share_with_patents,share_eite,share_alberta,obs_per_firm
Single-province firms,271,3000,642.0157654952731,154.1153089,0.5866686544620324,2.1734317343173433,22.548392934147188,0.4612546125461255,0.6346863468634686,0.2952029520295203,11.07011070110701
All multi-province firms (101),101,1158,1131.0690911051186,346.99700044,0.3852018898764934,7.1683168316831685,46.271209384341894,0.31683168316831684,0.8712871287128713,0.49504950495049505,11.465346534653465
Analysis sample: incumbents observed by 2016 (66),66,935,1583.038570924318,584.0641718500001,0.3523005596319347,7.454545454545454,66.97789028681277,0.3787878787878788,0.8484848484848485,0.5606060606060606,14.166666666666666
Excluded post-2016 entrants (35),35,223,278.7837863032,158.898329,0.032901330244558706,6.628571428571429,7.224325396825395,0.2,0.9142857142857143,0.37142857142857144,6.371428571428571
