coef,se,p,ci_lo,ci_hi,N,firms,outcome,spec,sig
19.906415181774996,15.545394880344837,0.2003572029957681,-10.561998909154227,50.37482927270422,935,66,green_patent_stock,Baseline (firm + year FE),
17.173099140842908,14.609448674503756,0.2398031606711023,-11.460894095170886,45.8070923768567,935,66,green_patent_stock,+ 2018 size (ln emissions) x year FE,
15.20143744362508,10.82364702498938,0.16018031627331986,-6.0125209067282075,36.41539579397837,935,66,green_patent_stock,+ 2018 patent stock (ln) x year FE,
20.665644886443935,16.025506381659863,0.19720796149656972,-10.743770455626194,52.07506022851406,935,66,green_patent_stock,+ 2018 facility count x year FE,
15.587245649535426,14.501531785808682,0.2824334235504382,-12.835234371312403,44.009725670383254,935,66,green_patent_stock,+ 2018 sector intensity x year FE,
-13.471081347228191,11.799389367637428,0.2535886607539184,-36.59745954736239,9.65529685290601,935,66,green_patent_stock,+ NAICS-3 x year FE,
19.167941959878277,17.023109142049236,0.2601674820114186,-14.196738863432763,52.53262278318932,935,66,green_patent_stock,+ province linear trends,
11.266598764727247,10.392988982723908,0.27833925768525236,-9.103285333133188,31.636482862587684,935,66,green_patent_stock,+ all firm characteristics x year FE + NAICS x year FE,
-181.35695508221787,120.71935879571544,0.13301908763430131,-417.9625505585887,55.24864039415297,935,66,intensity_co2e_per_m_gdp,Baseline (firm + year FE),
-191.01706928909954,127.43770605314288,0.13389816812940283,-440.7903834256616,58.75624484746254,935,66,intensity_co2e_per_m_gdp,+ 2018 size (ln emissions) x year FE,
-168.93866423809376,122.56438878153092,0.16809011904869064,-409.1604520370594,71.28312356087187,935,66,intensity_co2e_per_m_gdp,+ 2018 patent stock (ln) x year FE,
-193.87478044685892,123.01014230496229,0.11500557796301643,-434.9702290977319,47.22066820401403,935,66,intensity_co2e_per_m_gdp,+ 2018 facility count x year FE,
-113.0433699199439,149.95869203294072,0.45095127103499244,-406.9570054732412,180.87026563335345,935,66,intensity_co2e_per_m_gdp,+ 2018 sector intensity x year FE,
-333.0590341933616,257.55819101999344,0.1959623272330605,-837.8638125158363,171.74574412911312,935,66,intensity_co2e_per_m_gdp,+ NAICS-3 x year FE,
-52.93715126453823,88.30939077635307,0.5488721865221855,-226.0203766828639,120.14607415378744,935,66,intensity_co2e_per_m_gdp,+ province linear trends,
-330.9330056342861,254.07923174369793,0.19275250129900878,-828.91914907154,167.0531378029679,935,66,intensity_co2e_per_m_gdp,+ all firm characteristics x year FE + NAICS x year FE,
0.05346731669996779,0.16266986479462509,0.7423929930640344,-0.2653597596674975,0.37229439306743306,935,66,ln_E,Baseline (firm + year FE),
0.09043111348213961,0.1624784130646214,0.5778191394020131,-0.22802072438974053,0.40888295135401975,935,66,ln_E,+ 2018 size (ln emissions) x year FE,
0.07277152662789677,0.15704473950153894,0.6430913946727521,-0.23503050675659432,0.38057356001238785,935,66,ln_E,+ 2018 patent stock (ln) x year FE,
0.017811019840404507,0.14956258592249727,0.9052061112162335,-0.27532626200236743,0.31094830168317644,935,66,ln_E,+ 2018 facility count x year FE,
0.11999822188471904,0.16211466440306088,0.45917510250649773,-0.19774068171107784,0.4377371254805159,935,66,ln_E,+ 2018 sector intensity x year FE,
-0.1305748216942373,0.2410260969371027,0.5879937882348328,-0.6029772910252185,0.34182764763674384,935,66,ln_E,+ NAICS-3 x year FE,
-0.026566161548344597,0.14857479264979837,0.8580895203213363,-0.31776740415245575,0.2646350810557665,935,66,ln_E,+ province linear trends,
-0.2914729671263654,0.15640969274813005,0.062388803020654617,-0.5980303317456759,0.015084397492945156,935,66,ln_E,+ all firm characteristics x year FE + NAICS x year FE,*
-0.34618617484409253,0.19653181306208942,0.07815778308049273,-0.7313814502621463,0.039009100573961286,934,66,ln_I,Baseline (firm + year FE),*
-0.3772706841758963,0.19505615679209878,0.053092911799448396,-0.7595737264512078,0.005032358099415157,934,66,ln_I,+ 2018 size (ln emissions) x year FE,*
