Outcome,Coefficient,Std_Error,P_Value,Significant,Ex_Post_Power,MDE_80_Power,MDE_90_Power,MDE_80_Pct_Change,Observed_Pct_Change
ln_E,0.054,0.163,0.74,ns,0.05169085103002495,0.45665839055241386,0.5283670346637986,57.878946272272636,5.548460215508011
ln_I,-0.346,0.197,0.08,*,0.41932569763518823,0.5519122879682548,0.638578563366677,73.6570667899513,-29.248751289349826
ln_Y,0.4,0.16,0.015,**,0.7054139024424572,0.44825363489807496,0.5186424880135447,56.55757299412099,49.182469764127035
green_patents,19.906415181775,15.545394880344835,0.2003572029957681,ns,0.2484329013295999,43.55174850650311,50.39063923684416,,
