company_id,company_name,year,province,naics_code_3digit,multi_province_dummy,total_emissions_co2e,intensity_co2e_per_m_gdp,ln_emissions,emissions_squared,high_emitter,green_patent_count,unique_patents,green_patent_intensity,has_green_patents,ln_green_patents,cfd_participant,cfd_type,exposure_cfd_it,carbon_price_real_2015,exposure_price_it,num_facilities,company_age,emissions_growth_pct,year_fe,province_fe,naics_fe,ln_emissions_2018,intensity_2018,sample_50kt_baseline,sample_any_year_50kt,sample_all_years_50kt,green_patent_stock,naics_2digit,gdp_million_statcan,intensity_statcan,gdp_ind_prov_year,emission_share,naics_3digit_statcan,gdp_3digit_prov_year,gdp_million_final,gdp_source,naics_3digit,deflator_index,source,gdp_defl_rebased,gdp_real_million_v2,intensity_real_v2
102078290 SASKATCHEWAN LTD,102078290 Saskatchewan Ltd.,2019,Saskatchewan,325,0,67490.2077,244.20568648954583,11.119752612080235,4554928135.389139,0,1.0,2.0,1.4816964328293217e-05,1,0.6931471805599453,0,No,0,18.61764705882353,3656.444585787376,1,0,,2019,Saskatchewan,325,,,,1,1,1.0,32,,,,0.0256707558503755,325,718.1,718.1,3digit,325.0,102.12203852053858,IPPI,106.61157024793388,703.1782859050323,95.9787994777684
102078290 SASKATCHEWAN LTD,102078290 Saskatchewan Ltd.,2020,Saskatchewan,325,0,70410.2491,222.61193422307605,11.162108317733608,4957603178.324051,0,2.333333333333333,5.0,4.521122100863769e-05,1,1.4311083769096833,0,No,0,27.72262773722628,5444.632813873172,1,1,4.326614926093941,2020,Saskatchewan,325,,,,1,1,3.183333333333333,32,,,,0.0282867004316836,325,792.1,792.1,3digit,325.0,99.8125106528038,IPPI,107.74793388429754,793.587892759563,88.72394569322458
102078290 SASKATCHEWAN LTD,102078290 Saskatchewan Ltd.,2021,Saskatchewan,325,0,71531.0039,219.74985531541788,11.17790023552898,5116684518.941814,0,3.9166666666666665,8.0,9.25822320242873e-05,1,2.031104399880273,0,No,0,35.76271186440678,7023.678865354282,1,2,1.591749517045793,2021,Saskatchewan,325,,,,1,1,6.6225,32,,,,0.0272133716508321,325,684.4,684.4,3digit,325.0,119.38810294869609,IPPI,116.21900826446281,573.2564494253694,124.78011188832235
102078290 SASKATCHEWAN LTD,102078290 Saskatchewan Ltd.,2022,Saskatchewan,325,0,67089.7488,494.1800175406857,11.113801441621494,4501034394.047102,0,0.5833333333333333,2.0,9.259921887400675e-05,1,1.9758098548100207,0,No,0,41.86507936507937,8222.163751109178,1,3,-6.208853305356721,2022,Saskatchewan,325,,,,1,1,6.212458333333332,32,,,,0.0264487094647587,325,642.3,642.3,3digit,325.0,135.33321970342593,IPPI,125.3099173553719,474.6063098236776,141.35873757119816
102078290 SASKATCHEWAN LTD,102078290 Saskatchewan Ltd.,2023,Saskatchewan,325,0,75444.9439,572.3322442669628,11.23117170397029,5691939560.074147,0,1.0,2.0,8.324732259935226e-05,1,1.9852118456509589,0,No,0,52.38064926798218,10287.38705867613,1,4,12.453758211120311,2023,Saskatchewan,325,,,,1,1,6.280589583333333,32,,,,0.0259034358958045,325,779.1,779.1,3digit,325.0,125.94170785750806,IPPI,127.27272727272727,618.6195290296388,121.95693856988686
1287755 ONTARIO INC,1287755 Ontario Inc,2019,Ontario,111,0,14093.087,69.76083837288283,9.55351062670742,198615101.189569,0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,0,,2019,Ontario,111,,,,0,0,0.0,11,158.03580250849657,89.17654592377765,7827.1,0.0201908500604945,111,5005.0,5005.0,3digit,,106.61157024793388,GDP_DEFLATOR,106.61157024793388,4694.612403100775,3.0019702991223656
1287755 ONTARIO INC,1287755 Ontario Inc,2020,Ontario,111,0,13335.529,70.62269731215787,9.4982620907105,177836333.709841,0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,1,-5.375387237728679,2020,Ontario,111,,,,0,0,0.0,11,137.38505930149887,97.06680673867504,8258.3,0.0166359976389207,111,5453.2,5453.2,3digit,,107.74793388429754,GDP_DEFLATOR,107.74793388429754,5061.071524448705,2.634922058615368
1287755 ONTARIO INC,1287755 Ontario Inc,2021,Ontario,111,0,13241.1668,71.10554274043585,9.491161471690008,175328498.22542226,0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,2,-0.7075999759739493,2021,Ontario,111,,,,0,0,0.0,11,132.65814235239566,99.81420337415784,8965.2,0.0147970086949979,111,6022.7,6022.7,3digit,,116.21900826446281,GDP_DEFLATOR,116.21900826446281,5182.198755555555,2.555125232471036
1287755 ONTARIO INC,1287755 Ontario Inc,2022,Ontario,111,0,12890.74785,141.16147000858854,9.464342684103038,166171380.1322796,0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,3,-2.6464355845136067,2022,Ontario,111,,,,0,0,0.0,11,131.8988440019075,97.732076028002,9513.6,0.0138642410866451,111,6586.6,6586.6,3digit,,125.3099173553719,GDP_DEFLATOR,125.3099173553719,5256.247980214345,2.452461888884155
1287755 ONTARIO INC,1287755 Ontario Inc,2023,Ontario,111,0,26435.7315,136.84909339861147,10.182509666808215,698847899.9400923,0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,4,105.07523541390192,2023,Ontario,111,,,,0,0,0.0,11,278.4614100455778,94.9349911561285,9774.0,0.0284900153515017,111,6780.4,6780.4,3digit,,127.27272727272727,GDP_DEFLATOR,127.27272727272727,5327.457142857143,4.962166900853262
1329606 ONTARIO LIMITED,1329606 Ontario Limited,2017,Ontario,111,0,13934.227,60.0637051499764,9.542175229700844,194162682.08752903,0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,0,,2017,Ontario,111,9.724182880365897,56.93276161547089,0.0,0,0,0.0,11,184.58170739320224,75.49083382524378,7291.3,0.02531533572795,111,4582.0,4582.0,3digit,,103.30578512396696,GDP_DEFLATOR,103.30578512396696,4435.375999999999,3.14161121853029
1329606 ONTARIO LIMITED,1329606 Ontario Limited,2018,Ontario,111,0,16716.024,56.93276161547089,9.724182880365897,279425458.36857605,0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,1,19.963769787875574,2018,Ontario,111,9.724182880365897,56.93276161547089,0.0,0,0,0.0,11,226.52159034540875,73.79439626267312,7545.5,0.0300207528123263,111,4822.2,4822.2,3digit,,105.06198347107438,GDP_DEFLATOR,105.06198347107438,4589.861946902654,3.641944832628433
1329606 ONTARIO LIMITED,1329606 Ontario Limited,2019,Ontario,111,0,15042.883,69.76083837288283,9.618726742373068,226288328.951689,0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,2,-10.009204341893753,2019,Ontario,111,9.724182880365897,56.93276161547089,0.0,0,0,0.0,11,168.68654021268873,89.17654592377764,7827.1,0.0215516015143142,111,5005.0,5005.0,3digit,,106.61157024793388,GDP_DEFLATOR,106.61157024793388,4694.612403100775,3.204286468902998
