company_id,company_name,year,province,naics_code_3digit,multi_province_dummy,total_emissions_co2e,intensity_co2e_per_m_gdp,ln_emissions,emissions_squared,high_emitter,green_patent_stock,green_patent_count,unique_patents,green_patent_intensity,has_green_patents,ln_green_patents,cfd_participant,cfd_type,exposure_cfd_it,carbon_price_real_2015,exposure_price_it,num_facilities,company_age,emissions_growth_pct,year_fe,province_fe,naics_fe
1808278 ONTARIO INC,1808278 Ontario Inc.,2019,Ontario,111,0,18580.52,69.76083837288283,9.82992281741783,345235723.47040004,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,2,8.271463575946703,2019,Ontario,111
1808278 ONTARIO INC,1808278 Ontario Inc.,2020,Ontario,111,0,17700.66,70.62269731215787,9.781413699475088,313313364.4356,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,3,-4.7353895369989685,2020,Ontario,111
1808278 ONTARIO INC,1808278 Ontario Inc.,2021,Ontario,111,0,16334.38639,71.10554274043585,9.701088977872343,266812178.73781723,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,4,-7.718772124881223,2021,Ontario,111
1808278 ONTARIO INC,1808278 Ontario Inc.,2022,Ontario,111,0,16914.87,141.16147000858854,9.736007513530927,286112827.11689997,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,5,3.553752165158608,2022,Ontario,111
1808278 ONTARIO INC,1808278 Ontario Inc.,2023,Ontario,111,0,16408.66,136.84909339861147,9.705625464795759,269244122.9956,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,6,-2.9926922287904056,2023,Ontario,111
1916354 ALBERTA LTD,1916354 Alberta Ltd.,2022,Saskatchewan,336,1,0.4284239999999999,0.0094048694163865,0.3565717386132459,0.18354712377599994,0,17.622673503777435,2.0,2.0,41.13372150901312,1,2.9243798439145383,0,No,0,,,3,0,,2022,Saskatchewan,336
1916354 ALBERTA LTD,1916354 Alberta Ltd.,2023,Saskatchewan,336,1,0.39092,0.4392085292926637,0.32996539870651687,0.1528184464,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,3,1,-8.753944690306781,2023,Saskatchewan,336
1974568 ONTARIO LIMITED O/A APHRIA DIAMOND,1974568 Ontario Limited O/A Aphria Diamond,2020,Ontario,111,0,32173.06,70.62269731215787,10.37891581680834,1035105789.7636001,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,0,,2020,Ontario,111
1974568 ONTARIO LIMITED O/A APHRIA DIAMOND,1974568 Ontario Limited O/A Aphria Diamond,2021,Ontario,111,0,19721.84,71.10554274043585,9.889532634014465,388950972.9856,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,1,-38.70076393106531,2021,Ontario,111
1974568 ONTARIO LIMITED O/A APHRIA DIAMOND,1974568 Ontario Limited O/A Aphria Diamond,2022,Ontario,111,0,21625.79,141.16147000858854,9.981688102940929,467674793.1241,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,2,9.654018083505388,2022,Ontario,111
1974568 ONTARIO LIMITED O/A APHRIA DIAMOND,1974568 Ontario Limited O/A Aphria Diamond,2023,Ontario,111,0,22507.75,136.84909339861147,10.021659401483715,506598810.0625,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,3,4.078278758833775,2023,Ontario,111
2333281 ONTARIO LTD,2333281 Ontario Ltd,2017,Ontario,111,0,16158.35,60.0637051499764,9.690254108493852,261092274.72250003,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,0,,2017,Ontario,111
2333281 ONTARIO LTD,2333281 Ontario Ltd,2018,Ontario,111,0,14339.3,56.93276161547089,9.570829034436873,205615524.48999998,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,1,-11.257646975093383,2018,Ontario,111
2333281 ONTARIO LTD,2333281 Ontario Ltd.,2019,Ontario,111,0,30718.19,69.76083837288283,10.332642819726487,943607196.8761,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,2,114.22377661392117,2019,Ontario,111
